id,no_aduan,nama_pelapor_id,no_tel,bahagian_unit_id,premis,no_dpa,skop_perkhidmatan_id,lain_skop,mod_aduan_id,lain_mod,lokasi_id,lokasi_lain,aras_id,nama_no_bilik,keterangan_rosak,keutamaan_id,kategori_id,pegawai_penerima_id,jawatan_id,tindakan_id,created_at,updated_at,deleted_at,status_id,html,muatturun,gambar_1,gambar_2,catatan_pengadu,catatan_penerima,jenis_kerja_id,ditugaskan_id,tarikh_ditugaskan,masa_ditugaskan,ulasan_rosak,jenis_alat_ganti,keterangan_alat_ganti,harga_seunit_alat,kuantiti_alat,jumlah_alat,perihal_kerja,tarikh_mula,tarikh_siap,nama_kontraktor,tarikh_mula_kon,tarikh_siap_kon,kos_akhir,tempoh_tanggungan
,ATA/2-2021/4,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Bilik D31 & D56 Aras 2 Asrama D,1,,Tombol pintu rosak,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/1,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Kuarters D4 ,1,,Salur air ke tangki bocor,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/2,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Koridor Asrama A,1,,Lampu tidak menyala,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/3,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Bilik CESS,1,,Lampu tidak menyala,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/4,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Bilik CESS,1,,Telefon rosak ,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/5,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Bilik TPL,1,,2 unit lampu tidak menyala ,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/6,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Asrama Blok D (Bilik D50, D51, D52, D53, D54, D58, D59, D60, D61 dan D62)",1,,10 unit kipas siling tidak berfungsi,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/7,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Asrama Blok A (Bilik A5, A18, A21, A29, A34, A35, A70)",1,,Kerosakan tombol dan pintu pecah,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan perolehan,,,,,,,,,,,,,,,,,,
,ATA/3-2021/8,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Asrama Blok B (Bilik B21, B40 & B50)",1,,Pintu bilik pecah,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan perolehan,,,,,,,,,,,,,,,,,,
,ATA/3-2021/9,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Asrama Blok D (Bilik D34),1,,Kerosakan tombol pintu,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan perolehan,,,,,,,,,,,,,,,,,,
,ATA/3-2021/10,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Asrama A (Bilik A3, A4, Bilik Bacaan Aras 1, Bilik Gosok Aras 2)
Asrama B (B52,B70, B71, Bilik Gosok Aras Tanah, Bilik Bacaan Aras 1)",1,,12 unit tingkap pecah,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan perolehan,,,,,,,,,,,,,,,,,,
,ATA/3-2021/11,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Asrama C (Bilik C16), Asrama D (D18, D47 -Ensel patah) ",1,,2 unit tingkap pecah & 1 Ensel patah,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan perolehan,,,,,,,,,,,,,,,,,,
,ATA/3-2021/12,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Bilik mandi dan tandas, Asrama C & D",1,,19 Unit Jenang Pintu (Besi) berkarat,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan perolehan,,,,,,,,,,,,,,,,,,
,ATA/3-2021/13,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Bilik mandi dan tandas, Asrama A & B",1,,36 Unit Jenang Pintu (Besi) berkarat,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan perolehan,,,,,,,,,,,,,,,,,,
,ATA/3-2021/14,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Tandas Perempuan Komputer Sistem,1,,Lampu tandas tidak menyala,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/15,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Bilik TPL, Pusat Sumber",1,,1 unit lampu pendaflour berkelip,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/16,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Aras 1 Asrama D,1,,Pengikat salur air hujan tercabut,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/3-2021/17,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Ruang Masak Kafeteria,1,,Pindah perangkap lalat,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan BPPA,,,,,,,,,,,,,,,,,,
